City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Fairview,US,2020-11-09 05:36:39,40.81,-74.0,60.01,67,1,2.73
1,Yellowknife,CA,2020-11-09 05:36:39,62.46,-114.35,28.4,86,75,13.87
2,Busselton,AU,2020-11-09 05:36:40,-33.65,115.33,55.99,85,100,11.01
3,Port-Cartier,CA,2020-11-09 05:36:40,50.03,-66.87,30.2,100,90,1.72
4,Arraial Do Cabo,BR,2020-11-09 05:36:40,-22.97,-42.03,73.31,95,53,2.98
5,Ushuaia,AR,2020-11-09 05:31:41,-54.8,-68.3,39.2,94,75,17.22
6,Okha,RU,2020-11-09 05:36:40,53.57,142.95,25.18,96,100,23.24
7,Fairbanks,US,2020-11-09 05:35:32,64.84,-147.72,32.0,97,90,3.36
8,Punta Arenas,CL,2020-11-09 05:36:41,-53.15,-70.92,41.0,75,0,17.22
9,Butaritari,KI,2020-11-09 05:36:41,3.07,172.79,82.06,68,8,9.84
10,Pinheiro Machado,BR,2020-11-09 05:36:41,-31.58,-53.38,57.99,98,100,20.0
11,Norman Wells,CA,2020-11-09 05:36:41,65.28,-126.83,12.2,92,75,2.24
12,Sept-Iles,CA,2020-11-09 05:36:42,50.2,-66.38,30.2,100,90,0.2
13,Rikitea,PF,2020-11-09 05:36:42,-23.12,-134.97,73.02,77,14,17.67
14,Omboue,GA,2020-11-09 05:36:42,-1.57,9.26,75.07,93,100,7.58
15,Samarai,PG,2020-11-09 05:33:02,-10.62,150.67,80.65,82,100,14.2
16,Saldanha,ZA,2020-11-09 05:32:28,-33.01,17.94,48.2,81,0,2.24
17,Chuy,UY,2020-11-09 05:36:43,-33.7,-53.46,59.0,88,51,7.4
18,Fallon,US,2020-11-09 05:36:43,39.47,-118.78,28.0,86,1,6.93
19,Cherskiy,RU,2020-11-09 05:36:43,68.75,161.3,2.05,94,99,3.78
20,Saint-Prosper,CA,2020-11-09 05:36:44,46.21,-70.48,41.0,93,6,2.24
21,Najran,SA,2020-11-09 05:36:44,17.49,44.13,69.8,32,0,2.24
22,Naustdal,NO,2020-11-09 05:36:44,61.51,5.72,46.4,93,0,4.7
23,Lakes Entrance,AU,2020-11-09 05:36:44,-37.88,147.98,71.01,60,0,5.01
24,East London,ZA,2020-11-09 05:36:44,-33.02,27.91,59.0,93,75,14.99
25,Auki,SB,2020-11-09 05:36:45,-8.77,160.7,82.22,78,71,2.01
26,Banjar,ID,2020-11-09 05:33:55,-8.19,114.97,87.8,62,40,8.05
27,Alakurtti,RU,2020-11-09 05:36:45,66.97,30.35,28.99,94,80,5.01
28,Palmer,US,2020-11-09 05:32:27,42.16,-72.33,48.99,93,1,0.63
29,Barrow,US,2020-11-09 05:35:02,71.29,-156.79,15.8,78,90,25.28
30,Usinsk,RU,2020-11-09 05:36:46,65.99,57.53,26.96,98,100,17.11
31,Kapaa,US,2020-11-09 05:36:46,22.08,-159.32,78.8,74,75,16.11
32,Ilo,PE,2020-11-09 05:36:46,-17.64,-71.34,62.94,77,53,3.2
